Date,County,Active Dem,Active Rep,Active Uaf,Total Active,Inactive Dem,Inactive Rep,Inactive Uaf,Total Inactive,Grand Total,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change
2012-11-28,Custer,444,1697,602,2743,138,377,291,806,3549,2012,nov,REP,,,,,,,,,
2012-11-28,Chaffee,3072,4363,3743,11178,557,736,1170,2463,13641,2012,nov,Swing,,,,,,,,,
2012-11-28,Huerfano,1893,993,870,3756,531,308,468,1307,5063,2012,nov,DEM,,,,,,,,,
2012-11-28,Delta,3190,8316,4638,16144,963,1768,2134,4865,21009,2012,nov,REP,,,,,,,,,
2012-11-28,Hinsdale,103,417,146,666,11,48,16,75,741,2012,nov,Swing,,,,,,,,,
2012-11-28,Gunnison,2744,2525,3739,9008,1060,1015,2385,4460,13468,2012,nov,DEM,,,,,,,,,
2012-11-28,Grand,1942,3810,2531,8283,828,1167,1836,3831,12114,2012,nov,Swing,,,,,,,,,
2012-11-28,Gilpin,1146,929,1322,3397,438,379,870,1687,5084,2012,nov,DEM,,,,,,,,,
2012-11-28,Fremont,4722,9995,5961,20678,2479,3990,5223,11692,32370,2012,nov,REP,,,,,,,,,
2012-11-28,Garfield,6411,8919,9454,24784,2121,2700,5791,10612,35396,2012,nov,Swing,,,,,,,,,
2012-11-28,El Paso,69477,142064,103431,314972,25187,35467,50819,111473,426445,2012,nov,Swing,,,,,,,,,
2012-11-28,Eagle,6819,6732,9514,23065,2519,2328,5596,10443,33508,2012,nov,DEM,,,,,,,,,
2012-11-28,Douglas,35864,85311,55925,177100,7437,14987,14664,37088,214188,2012,nov,Swing,,,,,,,,,
2012-11-28,Dolores,373,570,317,1260,82,132,191,405,1665,2012,nov,REP,,,,,,,,,
2012-11-28,Denver,169226,54846,112759,336831,59622,24426,63642,147690,484521,2012,nov,DEM,,,,,,,,,
2012-11-28,Elbert,2023,8213,4090,14326,648,1932,1932,4512,18838,2012,nov,REP,,,,,,,,,
2012-12-28,Moffat,833,3799,1698,6330,520,1175,1497,3192,9522,2012,dec,REP,0.002406738868832692,0.0026392187912378517,0.014943215780035768,0.0058795487049101425,-0.005736137667303964,-0.005922165820642977,-0.009265387160820704,-0.007462686567164201,0.001367125880744613
2012-12-28,Otero,3023,3407,2046,8476,1330,994,1719,4043,12519,2012,dec,Swing,0.017845117845117775,0.006202008269344361,0.027108433734939652,0.015333013895543868,-0.021339220014716664,-0.01875616979269501,-0.014334862385321112,-0.017735665694849412,0.004412708600770143
2012-12-28,Morgan,2584,5216,3331,11131,865,1224,2014,4103,15234,2012,dec,REP,-0.041898405635891756,-0.018626528692380018,-0.08839627805145045,-0.04585976341505227,0.07990012484394504,-0.0008163265306122547,0.16147635524798165,0.09122340425531905,-0.012446518864255185
2012-12-28,Montrose,3960,10213,6432,20605,1135,2259,3416,6810,27415,2012,dec,REP,0.0007581501137225999,0.0005878318800822679,0.005943071629652907,0.002286214612316373,-0.013900955690703709,-0.014827736589620555,-0.009855072463768155,-0.012184508268059169,-0.0013478070814512133
2012-12-28,Montezuma,2964,6428,3351,12743,1634,2250,2878,6762,19505,2012,dec,Swing,-0.03766233766233762,-0.030321315432191853,-0.11066878980891715,-0.05446315945685243,0.07641633728590258,0.10565110565110558,0.20519262981574538,0.13819222353139193,0.004480379029766279
2012-12-28,Mineral,313,254,109,676,70,54,35,159,835,2012,dec,Swing,0.0,0.0,0.0,0.0,-0.014084507042253502,0.0,0.0,-0.006249999999999978,-0.0011961722488038617
2012-12-28,La Plata,9842,9855,10362,30059,3077,3042,5554,11673,41732,2012,dec,DEM,0.007678918808231794,0.00756568857989981,0.022296764009471115,0.0126330683196334,-0.018813775510204134,-0.016488845780795347,-0.014724144048252619,-0.01626495870554523,0.004380264741275619
2012-12-28,Logan,1857,5071,2494,9422,537,975,1467,2979,12401,2012,dec,REP,0.00978792822185981,0.008552108194112895,0.031857674803475344,0.014864282636794401,-0.03590664272890487,-0.03273809523809523,-0.027833001988071593,-0.030904359141184168,0.003479527431623275
