Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,pres_2012_sim_label
2012-11-28,Yuma,2012,nov,REP,,,,,,,,,,Mitt Romney
2012-12-28,Yuma,2012,dec,REP,0.007500000000000062,0.00605143721633894,0.034846029173419835,0.01389482684908083,-0.08602150537634412,-0.09686609686609683,-0.056987788331071876,-0.07799767171129224,-0.010787992495309595,Mitt Romney
2013-01-28,Yuma,2013,jan,REP,0.0037220843672456367,0.0015037593984963404,0.003915426781519128,0.002530044275774745,-0.0117647058823529,-0.014195583596214534,-0.007194244604316501,-0.010732323232323204,-0.0007902639481587316,Mitt Romney
2013-02-28,Yuma,2013,feb,REP,0.003708281829418958,0.0030030030030030463,0.0046801872074881965,0.0035751840168243287,-0.007936507936507908,-0.004800000000000026,-0.004347826086956497,-0.0051052967453733,0.0014236001265421905,Mitt Romney
2013-03-28,Yuma,2013,mar,REP,0.0,0.004116766467065824,0.012422360248447228,0.005658005029337776,-0.012000000000000009,-0.004823151125401881,-0.017467248908296984,-0.011545862732520895,0.0014215763702416506,Mitt Romney
2013-04-28,Yuma,2013,apr,REP,0.002463054187192171,0.0018635855385762399,0.0076687116564417845,0.0035424046676391092,-0.004048582995951454,-0.003231017770597755,-0.008888888888888835,-0.005840363400389403,0.0012618296529969266,Mitt Romney
2013-05-28,Yuma,2013,may,REP,0.006142506142506221,0.0014880952380953438,0.0053272450532724225,0.0033222591362125358,-0.004065040650406471,-0.0016207455429497752,-0.010463378176382654,-0.005874673629242766,0.0011027095148077317,Mitt Romney
2013-06-28,Yuma,2013,june,REP,0.002442002442002433,0.002600297176820199,0.00832702498107496,0.0041390728476822245,-0.008163265306122436,-0.00649350649350644,-0.004531722054380682,-0.005909389363099149,0.0017309205350117818,Mitt Romney
2013-07-28,Yuma,2013,july,REP,0.1071863580998782,0.08336420896628383,0.22522522522522515,0.1263396537510304,-0.3827160493827161,-0.36928104575163395,-0.4476479514415781,-0.4055482166446499,-0.00015708451146712044,Mitt Romney
2013-08-28,Yuma,2013,aug,REP,-0.011001100110010986,-0.007865937072503382,-0.0030637254901960675,-0.00695333943275389,0.03333333333333344,0.05440414507772018,0.0494505494505495,0.04888888888888898,0.000942655145325988,Mitt Romney
