Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,gov_2014_sim_label
2014-11-28,Yuma,2014,nov,REP,-0.002403846153846145,-0.0016744809109175973,-0.04643765903307884,-0.01484230055658631,0.007246376811594234,0.04584527220630363,0.23030303030303026,0.11383108935128528,0.0020944095376187466,Bob Beauprez
2014-12-28,Yuma,2014,dec,REP,-0.0060240963855421326,0.002012747400201187,0.008005336891260928,0.0024482109227872413,-0.007194244604316501,-0.0164383561643836,-0.027093596059113326,-0.019780219780219817,-0.000803858520900369,Bob Beauprez
2015-01-28,Yuma,2015,jan,REP,-0.014545454545454528,-0.00033478406427855933,0.002647253474520106,-0.0016907758782641613,-0.28260869565217395,-0.23676880222841226,-0.2835443037974683,-0.2645739910313901,-0.039420756234915484,Bob Beauprez
2015-02-28,Yuma,2015,feb,REP,-0.0012300123001229846,0.0010046885465506694,0.0046204620462046994,0.0016936394429807322,-0.020202020202020218,0.00364963503649629,-0.007067137809187329,-0.004573170731707266,0.0010050251256281673,Bob Beauprez
2015-03-28,Yuma,2015,mar,REP,-0.0036945812807881455,-0.0006691201070592179,0.009198423127463771,0.0016907758782640505,-0.010309278350515427,-0.007272727272727319,-0.007117437722419906,-0.007656967840735106,0.0006693440428380272,Bob Beauprez
2015-04-28,Yuma,2015,apr,REP,0.0024721878862794533,-0.004352192835621049,0.002604166666666741,-0.0013128282070518082,-0.02083333333333337,-0.0073260073260073,-0.0035842293906810365,-0.0077160493827160845,-0.0020066889632106566,Bob Beauprez
2015-05-28,Yuma,2015,may,REP,0.0,-0.0006724949562878503,0.0051948051948051965,0.0011267605633802358,0.0,-0.011070110701106972,-0.021582733812949617,-0.013996889580093264,-0.000502680965147495,Bob Beauprez
2015-06-28,Yuma,2015,june,REP,-0.004932182490752114,0.0013458950201883366,0.0019379844961240345,0.0005627462014632378,0.0,-0.011194029850746244,-0.011029411764705843,-0.009463722397476393,-0.0005029337803855727,Bob Beauprez
2015-07-28,Yuma,2015,july,REP,-0.002478314745972709,-0.0026881720430107503,0.002578981302385541,-0.0011248593925758943,0.010638297872340495,-0.02264150943396226,0.003717472118959009,-0.006369426751592354,-0.0016772895001677668,Bob Beauprez
2015-08-28,Yuma,2015,aug,REP,-0.003726708074534124,-0.0006738544474393926,0.007717041800643144,0.0013138138138137911,0.010526315789473715,0.0038610038610038533,-0.007407407407407419,0.0,0.0011760752688172447,Bob Beauprez
2015-09-28,Yuma,2015,sept,REP,0.0024937655860348684,0.002022926500337085,0.0019144862795150708,0.002061855670103085,-0.01041666666666663,0.007692307692307666,-0.0074626865671642015,-0.0016025641025640967,0.0016781339150864214,Bob Beauprez
2015-10-28,Yuma,2015,oct,REP,0.008706467661691475,0.01076716016150736,0.007006369426751703,0.009352787130564977,-0.010526315789473715,-0.01526717557251911,-0.007518796992481258,-0.011235955056179804,0.007203886748198941,Bob Beauprez
2014-11-28,La Plata,2014,nov,DEM,-0.01031128404669257,-0.009728183118741018,-0.051889087076374296,-0.025620109368863053,0.042160278745644535,0.03824935638102245,0.1622346913881434,0.09186622625928977,0.0009816065627410444,John Hickenlooper
2014-12-28,La Plata,2014,dec,DEM,0.0019657951641438576,0.004045073678127675,0.0163331623054559,0.007844717993240602,-0.2587763289869609,-0.2904711300035423,-0.280016792611251,-0.27680090754395914,-0.06245768054355694,John Hickenlooper
2015-01-28,La Plata,2015,jan,DEM,0.003629586030998722,0.001151079136690658,0.006058056373580145,0.0037226187546148815,-0.016238159675236785,-0.01897154268597101,-0.016326530612244868,-0.016993464052287632,-0.00022413707227175728,John Hickenlooper
2015-02-28,La Plata,2015,feb,DEM,0.001857100967647352,0.00038325189230614676,0.004098017897465889,0.0022068965517241246,-0.00733608436497024,-0.003562340966921096,-0.010077059869590954,-0.007579787234042512,0.0003736455349359069,John Hickenlooper
2015-03-28,La Plata,2015,mar,DEM,-0.0009756097560975617,9.577626664114548e-05,0.006746626686656709,0.0022020368841177973,0.0009237875288683473,0.001532175689479054,0.0032934131736526147,0.0021439099557818424,0.002191235059761043,John Hickenlooper
2015-04-28,La Plata,2015,apr,DEM,-0.0087890625,-0.002585711549511593,-0.012823694878795422,-0.008300527937990188,0.0429164743885555,0.018867924528301886,0.052820053715308964,0.04104826848509169,0.0008696084277479699,John Hickenlooper
2015-05-28,La Plata,2015,may,DEM,0.00266009852216742,0.002304368698991865,0.0058665772712034325,0.0037234206234422204,-0.0053097345132743215,-0.0030030030030030463,-0.003401360544217691,-0.003853069612124283,0.002259017451530454,John Hickenlooper
2015-06-28,La Plata,2015,june,DEM,0.0013756509776947645,0.0002873838490276004,0.001249791701383174,0.0009810534060947784,-0.002669039145907437,-0.001506024096385561,-0.0034129692832765013,-0.002707581227436861,0.00027245256848473787,John Hickenlooper
2015-07-28,La Plata,2015,july,DEM,0.002355019134530512,-0.0019153418885271558,0.006574020138137682,0.00254211332312404,0.006244424620874156,0.020613373554549952,0.003424657534246478,0.008661926308985102,0.003714250340473013,John Hickenlooper
2015-08-28,La Plata,2015,aug,DEM,0.0038179148311305866,-0.0009595087315295013,-0.002810846560846514,-0.00015275104634471234,0.015957446808510634,0.015270935960591148,0.021331058020477744,0.01820046142014875,0.0033797952386827035,John Hickenlooper
