county,active_dem,active_rep,active_uaf,total_active,inactive_dem,inactive_rep,inactive_uaf,total_inactive,grand_total,year,month
Gunnison,3654,2874,4916,11444,375,356,892,1623,13067,2017,aug
Hinsdale,115,419,161,695,9,31,22,62,757,2017,aug
Huerfano,1996,1258,1330,4584,151,112,201,464,5048,2017,aug
Jackson,110,700,203,1013,30,106,68,204,1217,2017,aug
Jefferson,118053,117148,155400,390601,9255,8209,16382,33846,424447,2017,aug
Kiowa,138,579,244,961,11,27,30,68,1029,2017,aug
Kit Carson,568,2574,1276,4418,58,173,244,475,4893,2017,aug
La Plata,12041,11262,13857,37160,1703,1496,2932,6131,43291,2017,aug
Lake,1841,824,1544,4209,231,129,349,709,4918,2017,aug
Larimer,64194,73212,95224,232630,4112,4276,11092,19480,252110,2017,aug
Las Animas,3928,2303,2428,8659,545,402,547,1494,10153,2017,aug
Lincoln,389,1695,690,2774,58,142,157,357,3131,2017,aug
Logan,1806,5911,3664,11381,229,421,752,1402,12783,2017,aug
Mesa,17880,41197,34673,93750,4028,7556,10092,21676,115426,2017,aug
Mineral,264,319,159,742,16,26,25,67,809,2017,aug
Moffat,851,4370,2404,7625,306,787,965,2058,9683,2017,aug
Montezuma,3651,7664,5524,16839,558,734,1193,2485,19324,2017,aug
Montrose,4539,12064,8797,25400,255,647,892,1794,27194,2017,aug
Morgan,2950,6520,5446,14916,214,304,611,1129,16045,2017,aug
Otero,3452,4019,3595,11066,271,219,508,998,12064,2017,aug
Ouray,1141,1296,1413,3850,115,213,232,560,4410,2017,aug
Park,2549,5116,4988,12653,257,464,675,1396,14049,2017,aug
Phillips,434,1583,723,2740,102,193,155,450,3190,2017,aug
Pitkin,4886,2144,5872,12902,625,364,1168,2157,15059,2017,aug
Prowers,1399,2992,2043,6434,131,279,438,848,7282,2017,aug
Pueblo,42237,25907,32859,101003,2821,1673,4441,8935,109938,2017,aug
Rio Blanco,327,2773,889,3989,34,181,248,463,4452,2017,aug
Rio Grande,2168,2768,1947,6883,220,277,427,924,7807,2017,aug
Routt,5211,4794,7344,17349,572,562,1263,2397,19746,2017,aug
Saguache,1654,851,1213,3718,182,81,259,522,4240,2017,aug
San Juan,175,136,305,616,22,19,56,97,713,2017,aug
San Miguel,2516,931,1973,5420,323,111,394,828,6248,2017,aug
Sedgwick,243,891,426,1560,31,91,95,217,1777,2017,aug
Summit,6399,4635,9480,20514,1542,1246,3178,5966,26480,2017,aug
Teller,2798,8504,6172,17474,333,783,933,2049,19523,2017,aug
Washington,276,2199,607,3082,31,140,89,260,3342,2017,aug
Weld,38688,64000,65367,168055,3221,4363,7588,15172,183227,2017,aug
Yuma,801,3084,1763,5648,65,171,174,410,6058,2017,aug
Adams,87526,62460,93769,243755,6631,4450,11903,22984,266739,2016,dec
Alamosa,3323,2568,2689,8580,316,217,546,1079,9659,2016,dec
Arapahoe,125797,108523,135479,369799,17434,12632,26192,56258,426057,2016,dec
Archuleta,2000,4192,2560,8752,466,757,715,1938,10690,2016,dec
Baca,608,1310,636,2554,38,70,115,223,2777,2016,dec
Bent,796,913,738,2447,165,140,222,527,2974,2016,dec
Boulder,96987,37198,81577,215762,6778,2686,10835,20299,236061,2016,dec
Broomfield,13312,12733,17499,43544,1762,1762,3154,6678,50222,2016,dec
Chaffee,3512,4664,4712,12888,246,332,706,1284,14172,2016,dec
Cheyenne,160,840,305,1305,16,55,38,109,1414,2016,dec
Clear Creek,2152,2082,2741,6975,208,187,435,830,7805,2016,dec
Conejos,2398,1777,753,4928,351,255,228,834,5762,2016,dec
Costilla,1558,380,477,2415,199,87,216,502,2917,2016,dec
Crowley,433,958,479,1870,40,52,80,172,2042,2016,dec
Custer,491,2159,819,3469,37,118,94,249,3718,2016,dec
Delta,3572,9476,6628,19676,279,618,868,1765,21441,2016,dec
Denver,198642,59075,144453,402170,29309,10245,36710,76264,478434,2016,dec
Dolores,343,699,411,1453,34,46,117,197,1650,2016,dec
Douglas,43676,98592,73164,215432,3232,6938,7692,17862,233294,2016,dec
Eagle,9177,7946,13314,30437,1141,1082,2781,5004,35441,2016,dec
El Paso,84807,163602,142077,390486,9445,12966,23138,45549,436035,2016,dec
Elbert,2309,10259,5681,18249,159,528,517,1204,19453,2016,dec
Fremont,5166,12052,9560,26778,683,1313,1972,3968,30746,2016,dec
Garfield,8240,10488,13240,31968,766,1106,2434,4306,36274,2016,dec
Gilpin,1262,1151,1834,4247,234,201,447,882,5129,2016,dec
Grand,2330,4299,3757,10386,296,405,757,1458,11844,2016,dec
Gunnison,3617,2881,4736,11234,406,380,936,1722,12956,2016,dec
Hinsdale,111,411,158,680,10,36,24,70,750,2016,dec
Huerfano,2043,1232,1205,4480,196,148,277,621,5101,2016,dec
Jackson,112,686,178,976,31,108,69,208,1184,2016,dec
Jefferson,117671,118146,147883,383700,13714,12380,22604,48698,432398,2016,dec
Kiowa,145,573,238,956,16,37,38,91,1047,2016,dec
Kit Carson,580,2560,1176,4316,57,174,257,488,4804,2016,dec
La Plata,12236,11323,13323,36882,2227,2116,3603,7946,44828,2016,dec
Lake,1872,804,1438,4114,230,117,343,690,4804,2016,dec
Larimer,64322,73419,91377,229118,4108,4356,11418,19882,249000,2016,dec
Las Animas,3966,2237,2185,8388,716,581,741,2038,10426,2016,dec
Lincoln,395,1714,653,2762,73,169,187,429,3191,2016,dec
Logan,1863,5917,3576,11356,228,427,776,1431,12787,2016,dec
Mesa,17897,41227,33070,92194,4647,8816,11369,24832,117026,2016,dec
Mineral,266,321,143,730,32,39,37,108,838,2016,dec
Moffat,859,4331,2263,7453,317,819,1005,2141,9594,2016,dec
Montezuma,3706,7646,5080,16432,863,1211,1633,3707,20139,2016,dec
Montrose,4569,12001,8325,24895,458,1004,1335,2797,27692,2016,dec
Morgan,2950,6473,5147,14570,345,494,815,1654,16224,2016,dec
Otero,3432,3977,3330,10739,380,292,640,1312,12051,2016,dec
Ouray,1164,1317,1323,3804,144,255,284,683,4487,2016,dec
Park,2526,5041,4646,12213,264,487,700,1451,13664,2016,dec
Phillips,430,1577,701,2708,122,247,195,564,3272,2016,dec
Pitkin,4884,2159,5685,12728,631,370,1169,2170,14898,2016,dec
