county,dem_gov_2014_%,rep_gov_2014_%,dem_house_2012_%,rep_house_2012_%,dem_house_2014_%,rep_house_2014_%,dem_house_2016_%,rep_house_2016_%,dem_pres_2012_%,rep_pres_2012_%,dem_pres_2016_%,rep_pres_2016_%,dem_senate_2014_%,rep_senate_2014_%,dem_senate_2016_%,rep_senate_2016_%
Adams,0.5011255225640476,0.4441679555303738,0.5268856497881094,0.401861336885473,0.5116299016741133,0.47026441164315735,0.5145738956592016,0.4262798017822582,0.5711229643080066,0.4027237133291721,0.49855171238711876,0.4134822410508217,0.47695099262707386,0.4487608431013758,0.5265086812687841,0.4123602672490216
Alamosa,0.5093864911941165,0.43313334623572675,0.48620742795500077,0.4586222838650023,0.42509326526605146,0.5154133123895543,0.4951943767034859,0.46277435088222635,0.5675353685778108,0.4028294862248697,0.45957630782533504,0.4389681510304078,0.4741546832491255,0.4566653711620676,0.5299770510613884,0.4150889271371199
Arapahoe,0.5200782495678855,0.4393677506375643,0.48531146639260614,0.44999963812432603,0.4552914120864915,0.49046316582071203,0.457761318136736,0.478489111813874,0.5390415948668376,0.43986326510598356,0.5275896887621763,0.3862523428631768,0.4802009429826523,0.4648483980925626,0.5400400184496335,0.40983737112632357
Archuleta,0.394250137337484,0.555209668558872,0.33920773549594513,0.595601996257018,0.29793180547792064,0.6344326439351593,0.3569409103760249,0.5978230138535482,0.3978318978318978,0.574992574992575,0.34064586455920426,0.5810055865921788,0.3722721437740693,0.5690445626260774,0.3792057363485935,0.56150027578599
Baca,0.21757770632368703,0.7256162915326902,0.2478589420654912,0.6982367758186397,0.17863105175292154,0.7545909849749582,0.14285714285714285,0.8154362416107382,0.22174738841405509,0.7402659069325735,0.13144449605202044,0.8142127264282397,0.1898870360408822,0.7391070467993545,0.2698783910196445,0.6870907390084191
Bent,0.3468354430379747,0.5930379746835444,0.37614185921547555,0.5722729715206878,0.3111821086261981,0.6223642172523962,0.3322734499205087,0.6417594064652888,0.4196704428424305,0.5535530381050463,0.3061754021795537,0.6165023352361183,0.321405750798722,0.6063897763578274,0.42231491136600624,0.5391032325338895
Boulder,0.6811865124153499,0.2600733634311512,0.6898091828577387,0.25777113528668916,0.6852390494042617,0.2964758436932181,0.6941792508120128,0.25832142015982823,0.6968896762656059,0.27844723368932417,0.7033617688484946,0.22002179170320763,0.6858580251684572,0.273543609165197,0.6798729953718653,0.24623291357227425
Broomfield,0.510684534588917,0.44331763853676204,0.5118261913032495,0.4367006663087757,0.5041306867033009,0.4958693132966992,0.5289200302997511,0.4104804674818743,0.5176190621472374,0.4578820514385087,0.5235075616874503,0.38118864420270626,0.4820180362898845,0.46477853029589655,0.530655160171505,0.41174864134145345
Chaffee,0.4713981864994963,0.4820329116758088,0.0,0.5862366519253587,0.4613944782405241,0.5386055217594758,0.4132428466617755,0.530997798972854,0.4861403173389409,0.4846109730453068,0.43448888888888887,0.4792,0.4521455852617389,0.49348461019995504,0.4670100346328035,0.4781102921587781
Cheyenne,0.15911282545805208,0.7849566055930569,0.13079777365491652,0.8283858998144712,0.09970384995064166,0.8390918065153011,0.11792014856081709,0.8486536675951718,0.15736505032021958,0.8133577310155535,0.11978221415607986,0.8393829401088929,0.11753371868978806,0.8169556840077071,0.2018348623853211,0.7596330275229358
Clear Creek,0.5243485689876122,0.4201196070055532,0.5083605961468557,0.411123227917121,0.513091309130913,0.4869086908690869,0.4895652173913044,0.4245217391304348,0.5430959428869928,0.42312380289047535,0.4652233208319127,0.4389703375383566,0.5040860215053763,0.42731182795698924,0.49072340425531913,0.43251063829787234
Conejos,0.49413447782546494,0.4698140200286123,0.4769927080714106,0.4928337943173246,0.45051783659378597,0.5143843498273878,0.5011102886750555,0.4707623982235381,0.539624481833699,0.44745184101438673,0.44032819492789654,0.47588264545002484,0.4678210678210678,0.47878787878787876,0.511094674556213,0.4630177514792899
Costilla,0.6631430584918957,0.28259337561663145,0.6499423298731257,0.2837370242214533,0.6497498213009293,0.3002144388849178,0.6554389839867476,0.2965212589729431,0.7294501905280348,0.24278715296679368,0.6087662337662337,0.3181818181818182,0.6509635974304069,0.2826552462526767,0.650575973669775,0.3000548546352167
Crowley,0.2513089005235602,0.6611817501869858,0.3029045643153527,0.6376210235131397,0.24735249621785174,0.6822995461422088,0.2318454363757495,0.715522984676882,0.3561917443408788,0.6151797603195739,0.2220039292730845,0.7066142763588736,0.25671641791044775,0.655223880597015,0.33201581027667987,0.616600790513834
Custer,0.30333068992862805,0.6566217287866772,0.2806026365348399,0.672316384180791,0.25240384615384615,0.703125,0.2561495572318793,0.6992456543128894,0.3197053406998158,0.6585635359116022,0.2599478147423353,0.6722113502935421,0.29411764705882354,0.6593799682034976,0.3084967320261438,0.6483660130718955
Delta,0.29299457692593417,0.6538147240175322,0.2583854100242316,0.6854992985588573,0.2193862275449102,0.7171407185628742,0.28210163037010594,0.6702963227418779,0.29023547880690737,0.6854003139717425,0.24341870160810006,0.6941631923764146,0.26071428571428573,0.6844494047619047,0.2932999224389953,0.6544955551578068
Denver,0.742677328275535,0.2166390068323383,0.728928062490104,0.22195950106437254,0.7098839606787657,0.23976286653039325,0.7257769652650823,0.2302091934597726,0.7359045920701107,0.2423349486565858,0.7369279076214698,0.1889095138796813,0.7073240251691837,0.24525270672373065,0.729542031146404,0.21716932534456893
Dolores,0.2883625128733265,0.6539649845520082,0.2591973244147157,0.6747491638795987,0.21391484942886813,0.7030114226375909,0.3117839607201309,0.6415711947626841,0.26827309236947794,0.6899598393574298,0.19282868525896416,0.7521912350597609,0.2546583850931677,0.6759834368530021,0.2804979253112033,0.6705394190871369
Douglas,0.37765764983428135,0.591275527187993,0.3300746301226378,0.622534930264167,0.29735349855839777,0.6533886869252947,0.3068824938739201,0.6436067738889829,0.3634730253920659,0.6211001642036125,0.36617066666666664,0.547056,0.327721701775646,0.6285946491158052,0.37559554468194695,0.5790196583397716
Eagle,0.589117444265686,0.37054700068949664,0.5037431140825839,0.4233250153020387,0.47283787039267644,0.478800289086967,0.5585211383451225,0.39138838624773814,0.5643197458973002,0.4151667548967708,0.5589739523450818,0.35642072711414186,0.5440710209258085,0.4094079667954113,0.5522784963133084,0.3534388976187598
El Paso,0.33648706764145725,0.6105898770394685,0.0,0.6449928591830906,0.40420136005565904,0.5957986399443409,0.3118519376701616,0.6178371211389806,0.38535021969501165,0.5891341431894547,0.3386233101753154,0.5618996262948007,0.32087099064666846,0.6200855562470963,0.3590753949084204,0.5800378253278142
Elbert,0.22384953981592637,0.7282112845138056,0.23700700331736085,0.7066715812753409,0.1754586220953934,0.7512433754586221,0.17912905988536795,0.7753475195994466,0.25412611087600506,0.7240795598815065,0.19612015018773468,0.7324780976220275,0.20515290151697568,0.733365438638735,0.23150882925909633,0.7263243888644505
Fremont,0.2862205181828744,0.6460439177413733,0.0,0.7207541174601494,0.38067367415193504,0.619326325848065,0.2444032444959444,0.6952491309385863,0.3283699059561129,0.6452782131661442,0.2410685841714832,0.6882082555864015,0.2771616050171303,0.6436908425759248,0.3038626218456773,0.6447116698551517
Garfield,0.4563287218666116,0.49468304769770804,0.4188912579957356,0.5273347547974414,0.3627518013990428,0.5768684584231841,0.45790194884287455,0.5019031668696712,0.46316781383153066,0.5135611274991806,0.4258027956176804,0.4961088024178315,0.43435703557926353,0.5124035423895593,0.4594862791496508,0.48074500973245293
Gilpin,0.49741111494649637,0.41353123921297896,0.5297230003112356,0.3769063180827887,0.5414599574769667,0.4585400425230333,0.5040509259259259,0.4085648148148148,0.566806470940683,0.40323547034152185,0.4569351230425056,0.43791946308724833,0.5043478260869565,0.4066086956521739,0.48282602624965093,0.41971516336218934
Grand,0.4415204678362573,0.5153508771929824,0.4212914937759336,0.5175051867219918,0.418291761148904,0.581708238851096,0.4082442014180988,0.51796659055402,0.44998167827042873,0.519482105777452,0.3910107126222636,0.5232883092687471,0.4110898661567878,0.5350786880423591,0.42295120242820455,0.5138921316833995
Gunnison,0.5709342560553633,0.3693771626297578,0.5079950799507995,0.41660516605166054,0.469366250188168,0.45747403281649857,0.6081802648440837,0.34995728321230246,0.581977616245529,0.3854851736471674,0.5448363790905227,0.3494475138121547,0.553872782345305,0.38525890667820567,0.5874148211243612,0.3424190800681431
Hinsdale,0.3918918918918919,0.5694980694980695,0.3105263157894737,0.6456140350877193,0.2727272727272727,0.6561264822134387,0.3711340206185567,0.6013745704467354,0.38166666666666665,0.5883333333333334,0.33446519524617996,0.5755517826825127,0.3652007648183556,0.5869980879541109,0.4197952218430034,0.5392491467576792
Huerfano,0.48481052301910427,0.45255245850297526,0.47439126784214947,0.46627483907080886,0.4458020050125313,0.4859022556390977,0.42191267077417627,0.5352263594963836,0.5258481421647819,0.44318793753365643,0.4316679883690193,0.4977531060005287,0.470441038473569,0.45323741007194246,0.5125362892583796,0.4470836632356822
Jackson,0.2152230971128609,0.7545931758530183,0.18259803921568626,0.7745098039215687,0.12534435261707988,0.8236914600550964,0.23353293413173654,0.7377245508982035,0.25471698113207547,0.7075471698113207,0.1986062717770035,0.7305458768873403,0.2217687074829932,0.7224489795918367,0.275175644028103,0.6826697892271663
Jefferson,0.5077114456962138,0.4461056711784961,0.4954332761941321,0.4531282058070195,0.5090246104048449,0.4834479220928984,0.5107774944455665,0.4399868713391234,0.5121201599732521,0.46357843704589585,0.48885469908751744,0.4201402930525445,0.4728160722093822,0.46942344930976326,0.5077371635897452,0.43325937934661185
Kiowa,0.14927344782034346,0.797886393659181,0.1613316261203585,0.8104993597951344,0.11244979919678715,0.8058902275769746,0.24009603841536614,0.7478991596638656,0.14372716199756394,0.8246041412911084,0.1064327485380117,0.8514619883040936,0.14060446780551905,0.80946123521682,0.23389021479713604,0.7410501193317423
Kit Carson,0.20891185017759123,0.7513722957701001,0.18542487338210467,0.7808103545301069,0.13187919463087247,0.8184563758389262,0.13821138211382114,0.830950378469302,0.22636412749864937,0.7522960561858455,0.14478660183684494,0.8014586709886548,0.1570967741935484,0.7896774193548387,0.24621316441751584,0.7179840264389975
La Plata,0.5274315308988764,0.4238939606741573,0.49341546304163125,0.45652789578023223,0.4250089063056644,0.5215087281795511,0.5098449663112449,0.4503499705632237,0.5307360197368421,0.43839089912280704,0.4983948635634029,0.40407704654895665,0.5180296341623323,0.4446872678001661,0.5190612964292708,0.41379985638749267
Lake,0.5600485240598463,0.3651435503437121,0.5393575714789975,0.37592657959759973,0.4707379134860051,0.4491094147582697,0.5616,0.37984,0.6049342105263158,0.3611842105263158,0.5051578618318224,0.39699906220693965,0.5368550368550369,0.371007371007371,0.5418124006359301,0.37329093799682034
Larimer,0.5008595039040117,0.44910977487210996,0.47900778865016075,0.46255992385462735,0.48909483216016414,0.5109051678398359,0.49050769149997375,0.44460019950648394,0.5147463647463647,0.45718725718725717,0.47511238334328326,0.4257045325822401,0.4713259926410017,0.47502608600142787,0.49409901684668794,0.4441263553175905
Las Animas,0.45864661654135336,0.48711063372717506,0.5318593582066636,0.41071702748349453,0.3902439024390244,0.5178800660187053,0.41205727204220044,0.546646571213263,0.5020402215097639,0.475517341882833,0.390107463565435,0.546150448991609,0.42774982027318476,0.5037742631200575,0.48789489223501625,0.4685562444641275
Lincoln,0.20089064819396338,0.7545769421078674,0.1969147005444646,0.7613430127041743,0.1559959349593496,0.7830284552845529,0.16111345423871784,0.8021931674398988,0.24136423261915171,0.7376475732400525,0.16789819376026272,0.7766830870279147,0.16066066066066065,0.7792792792792793,0.24368006630750103,0.7219229175300456
Logan,0.2607744757493889,0.6996011835842018,0.2423460805203544,0.7190759223954245,0.2018674381904261,0.7480273540241978,0.17923728813559323,0.7774364406779661,0.29723805348531346,0.677224901359053,0.19039292326681753,0.7490228348076527,0.2060880829015544,0.733419689119171,0.28636457686737016,0.6759776536312849
Mesa,0.34299975819544715,0.6085875159763723,0.2749124821066655,0.6651501622801423,0.22779556087094163,0.6970523057441345,0.27340480495995867,0.6623223973133557,0.32689486887740415,0.6507738495071764,0.27981816776985086,0.6410358770958354,0.2680419543928615,0.6838113791723922,0.3120179116840089,0.6284490345291712
Mineral,0.4586092715231788,0.4867549668874172,0.33931484502446985,0.5905383360522023,0.3202725724020443,0.6098807495741057,0.4453125,0.5171875,0.44769230769230767,0.5292307692307693,0.36349693251533743,0.5276073619631901,0.4226289517470882,0.5058236272878536,0.4574468085106383,0.49544072948328266
Moffat,0.17472347398607127,0.7771405161818926,0.17851184517851185,0.7552552552552553,0.11755001031140441,0.8259434935038152,0.1738994692475804,0.7856696846706213,0.21562905317769132,0.7611867704280155,0.1339463601532567,0.8130268199233717,0.16947066064833813,0.7646696758309397,0.20922595777951525,0.7483971853010164
Montezuma,0.3502070393374741,0.5871635610766045,0.32969199178644765,0.6211909650924025,0.27564102564102566,0.6568444995864351,0.36175424733306993,0.5935203476886606,0.3687286897223575,0.600828056502679,0.30899051174366154,0.610748172344066,0.3457770444467361,0.5964731360214499,0.34169378522104926,0.5940153980474641
Montrose,0.2992775436484046,0.6566526189042745,0.2553892974892214,0.6966269338067461,0.20968719689621726,0.7287827352085354,0.25817164002087384,0.6862754400113857,0.30491803278688523,0.673224043715847,0.2580005664117814,0.6788445199660152,0.24451919034176225,0.7151780887741005,0.2885256837891928,0.6645382636043077
Morgan,0.29864559819413095,0.6615124153498871,0.3033139146213351,0.6635469391653137,0.241415313225058,0.7056844547563805,0.24733293505163437,0.7166510198856363,0.3629952676997309,0.6126009093439733,0.26346153846153847,0.6810200668896321,0.24557421697684975,0.6943940081706763,0.32929088765369713,0.6329796193363652
Otero,0.388142174432497,0.5546594982078853,0.42957835116425425,0.5254877281309,0.32826978581193983,0.6144614917210998,0.34989965765553066,0.61704639357809,0.4451904296875,0.534912109375,0.34820160908660674,0.5830572645527686,0.35115193494955577,0.574311097726246,0.4278682761045353,0.5345130669166764
Ouray,0.5354742345033607,0.429798356982823,0.4587185208798215,0.4912336627350972,0.43735763097949887,0.5007593014426728,0.5181818181818182,0.44393939393939397,0.514053716427233,0.4625234228607121,0.5126888217522658,0.4081570996978852,0.5039047973224247,0.4589066567497211,0.5243275914173466,0.4221819280749471
Park,0.36727092128135086,0.5741246585547554,0.1981534910559723,0.5924985574148874,0.3692881966791093,0.6307118033208907,0.33448684991101446,0.585821633379474,0.41234251548152895,0.5590433482810164,0.32840549102428723,0.5889411538830758,0.3518357187305538,0.5815805849408836,0.35867784523465357,0.5721306736050882
Phillips,0.23921765295887662,0.7231695085255767,0.20431588613406795,0.7630853994490359,0.1717695900363259,0.7804878048780488,0.16997792494481237,0.801766004415011,0.2596026490066225,0.7227373068432671,0.18696397941680962,0.7680102915951973,0.18057663125948406,0.7668184117349519,0.30008635578583764,0.6778929188255614
Pitkin,0.7159578618806086,0.24411496943685784,0.6470283702629944,0.3095879063988403,0.6035902281009583,0.34525577000944796,0.7168962877918101,0.2579410639112132,0.6798014888337469,0.3001488833746898,0.6968545091703887,0.24232633279483037,0.6980255516840883,0.27177700348432055,0.6833333333333333,0.2650698602794411
Prowers,0.26425521225822657,0.685254961065059,0.2916666666666667,0.6675257731958762,0.21825095057034222,0.7318124207858048,0.3226456946965114,0.651744303286953,0.3123586263623278,0.6641990540818424,0.2364433811802233,0.7039473684210527,0.22280833961316251,0.7219291635267521,0.3332659251769464,0.6289180990899899
