Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,pres_2016_sim_label
2017-09-28,La Plata,2017,sept,DEM,0.0010796445477949668,0.0006215592257148295,0.014649635563253272,0.006001076426264795,0.0011743981209630938,-0.0006684491978609097,-0.00034106412005452386,0.0,0.005151186158785848,Hillary Clinton
2017-10-28,La Plata,2017,oct,DEM,0.0010784801725567394,0.0002662170556393395,0.012802275960170695,0.005243024904368232,-0.007624633431084994,-0.008026755852842848,-0.010576595018764956,-0.00913390963953675,0.003217355333915428,Hillary Clinton
2016-11-28,Lake,2016,nov,DEM,0.02338227297444262,0.030927835051546282,0.07094846900672147,0.04097116843702575,-0.05714285714285716,-0.06872852233676974,-0.049159120310478636,-0.055380742605412266,0.013350171387335408,Hillary Clinton
2016-12-28,Lake,2016,dec,DEM,-0.005313496280552554,0.0049999999999998926,0.0027894002789399237,-0.0004859086491739717,-0.5353535353535354,-0.5682656826568266,-0.5333333333333333,-0.5403064623584277,-0.14473918461812352,Hillary Clinton
2017-01-28,Lake,2017,jan,DEM,-0.0005341880341880323,-0.0037313432835820452,0.0006954102920724293,-0.000729217306757457,0.004347826086956497,0.05982905982905984,0.00291545189504383,0.01304347826086949,0.0012489592006661445,Hillary Clinton
2017-02-28,Lake,2017,feb,DEM,-0.001068947087119243,0.0,-0.0034746351633078154,-0.0017027487229384075,0.008658008658008587,0.0,0.005813953488372103,0.005722460658083017,-0.0006237006237006515,Hillary Clinton
2017-03-28,Lake,2017,mar,DEM,-0.002675227394328572,0.002496878901373289,0.013249651324965141,0.0038986354775829572,0.0,-0.008064516129032251,-0.0028901734104046506,-0.0028449502133712783,0.002912419388391818,Hillary Clinton
2017-04-28,Lake,2017,apr,DEM,0.0010729613733906351,0.0,-0.003441156228492725,-0.0007281553398058582,-0.0042918454935622075,0.03252032520325199,-0.0028985507246376274,0.002853067047075664,-0.00020742584526034505,Hillary Clinton
2017-05-28,Lake,2017,may,DEM,-0.001607717041800627,0.001245330012453305,0.018646408839779083,0.006072382803011811,0.0,-0.015748031496062964,0.002906976744186052,-0.0014224751066855836,0.004979253112033177,Hillary Clinton
2017-06-28,Lake,2017,june,DEM,-0.007514761137949576,0.00995024875621886,0.01627118644067793,0.004345726702076336,-0.004310344827586189,0.008000000000000007,-0.008695652173912993,-0.0042735042735042575,0.003096614368290673,Hillary Clinton
