county,apr_2016active_dem,apr_2016active_rep,apr_2016active_uaf,apr_2016total_active,apr_2016inactive_dem,apr_2016inactive_rep,apr_2016inactive_uaf,apr_2016total_inactive,apr_2016grand_total,aug_2016active_dem,aug_2016active_rep,aug_2016active_uaf,aug_2016total_active,aug_2016inactive_dem,aug_2016inactive_rep,aug_2016inactive_uaf,aug_2016total_inactive,aug_2016grand_total,dec_2015active_dem,dec_2015active_rep,dec_2015active_uaf,dec_2015total_active,dec_2015inactive_dem,dec_2015inactive_rep,dec_2015inactive_uaf,dec_2015total_inactive,dec_2015grand_total,feb_2016active_dem,feb_2016active_rep,feb_2016active_uaf,feb_2016total_active,feb_2016inactive_dem,feb_2016inactive_rep,feb_2016inactive_uaf,feb_2016total_inactive,feb_2016grand_total,jan_2016active_dem,jan_2016active_rep,jan_2016active_uaf,jan_2016total_active,jan_2016inactive_dem,jan_2016inactive_rep,jan_2016inactive_uaf,jan_2016total_inactive,jan_2016grand_total,july_2016active_dem,july_2016active_rep,july_2016active_uaf,july_2016total_active,july_2016inactive_dem,july_2016inactive_rep,july_2016inactive_uaf,july_2016total_inactive,july_2016grand_total,june_2016active_dem,june_2016active_rep,june_2016active_uaf,june_2016total_active,june_2016inactive_dem,june_2016inactive_rep,june_2016inactive_uaf,june_2016total_inactive,june_2016grand_total,mar_2016active_dem,mar_2016active_rep,mar_2016active_uaf,mar_2016total_active,mar_2016inactive_dem,mar_2016inactive_rep,mar_2016inactive_uaf,mar_2016total_inactive,mar_2016grand_total,may_2016active_dem,may_2016active_rep,may_2016active_uaf,may_2016total_active,may_2016inactive_dem,may_2016inactive_rep,may_2016inactive_uaf,may_2016total_inactive,may_2016grand_total,nov_2015active_dem,nov_2015active_rep,nov_2015active_uaf,nov_2015total_active,nov_2015inactive_dem,nov_2015inactive_rep,nov_2015inactive_uaf,nov_2015total_inactive,nov_2015grand_total,oct_2016active_dem,oct_2016active_rep,oct_2016active_uaf,oct_2016total_active,oct_2016inactive_dem,oct_2016inactive_rep,oct_2016inactive_uaf,oct_2016total_inactive,oct_2016grand_total,sept_2016active_dem,sept_2016active_rep,sept_2016active_uaf,sept_2016total_active,sept_2016inactive_dem,sept_2016inactive_rep,sept_2016inactive_uaf,sept_2016total_inactive,sept_2016grand_total
Clear Creek,1992,1944,2503,6439,305,299,589,1193,7632,2044,1966,2541,6551,322,317,575,1214,7765,1902,1881,2435,6218,337,326,649,1312,7530,1969,1931,2462,6362,326,312,618,1256,7618,1944,1913,2442,6299,328,318,628,1274,7573,2017,1946,2498,6461,340,336,575,1251,7712,2071,1994,2465,6530,294,291,577,1162,7692,1980,1940,2489,6409,314,305,608,1227,7636,2027,1966,2473,6466,301,295,585,1181,7647,1894,1866,2430,6190,351,338,661,1350,7540,2152,2078,2756,6986,275,255,475,1005,7991,2073,2005,2607,6685,302,292,536,1130,7815
Conejos,2323,1662,699,4684,393,287,239,919,5603,2267,1616,685,4568,453,350,241,1044,5612,2274,1639,677,4590,423,297,246,966,5556,2303,1639,689,4631,407,293,242,942,5573,2297,1642,684,4623,413,295,246,954,5577,2268,1623,689,4580,464,352,230,1046,5626,2348,1677,692,4717,387,286,230,903,5620,2311,1661,693,4665,400,288,242,930,5595,2330,1659,710,4699,391,287,233,911,5610,2332,1676,710,4718,371,262,215,848,5566,2361,1730,757,4848,376,279,223,878,5726,2303,1654,731,4688,419,331,231,981,5669
Costilla,1551,336,442,2329,192,88,200,480,2809,1533,351,428,2312,203,93,205,501,2813,1547,324,423,2294,207,93,212,512,2806,1558,329,431,2318,197,88,206,491,2809,1553,329,425,2307,199,88,207,494,2801,1534,340,418,2292,218,101,207,526,2818,1568,353,418,2339,185,85,209,479,2818,1557,334,436,2327,196,88,204,488,2815,1549,345,431,2325,186,86,205,477,2802,1545,319,422,2286,210,93,213,516,2802,1570,376,489,2435,187,85,197,469,2904,1547,364,456,2367,198,92,204,494,2861
Crowley,418,908,451,1777,68,78,95,241,2018,421,912,447,1780,74,100,91,265,2045,416,893,420,1729,72,83,104,259,1988,416,898,427,1741,69,78,101,248,1989,414,893,423,1730,69,82,102,253,1983,421,907,435,1763,75,106,91,272,2035,433,940,433,1806,66,73,93,232,2038,416,904,438,1758,69,79,99,247,2005,421,925,442,1788,66,75,95,236,2024,413,884,417,1714,76,96,105,277,1991,437,961,483,1881,63,79,80,222,2103,426,923,459,1808,71,93,91,255,2063
Custer,477,2012,746,3235,55,207,168,430,3665,465,2105,733,3303,67,220,150,437,3740,465,1892,735,3092,59,221,179,459,3551,473,1968,724,3165,57,211,172,440,3605,467,1918,739,3124,57,216,174,447,3571,459,2110,703,3272,68,232,151,451,3723,461,2183,655,3299,52,202,155,409,3708,479,1989,739,3207,55,208,171,434,3641,447,2110,705,3262,54,204,160,418,3680,458,1880,728,3066,62,249,193,504,3570,497,2167,811,3475,62,192,131,385,3860,483,2113,771,3367,64,211,142,417,3784
Delta,3350,8541,6153,18044,570,1214,1440,3224,21268,3434,8813,6108,18355,575,1244,1451,3270,21625,3258,8364,6079,17701,579,1243,1410,3232,20933,3338,8470,6135,17943,553,1195,1371,3119,21062,3301,8404,6086,17791,566,1214,1391,3171,20962,3392,8718,5998,18108,605,1268,1477,3350,21458,3443,8745,5897,18085,572,1225,1501,3298,21383,3377,8567,6187,18131,543,1172,1349,3064,21195,3370,8558,6018,17946,578,1258,1522,3358,21304,3181,8321,6069,17571,607,1305,1441,3353,20924,3563,9310,6541,19414,503,1047,1273,2823,22237,3483,8970,6255,18708,548,1171,1386,3105,21813
Denver,176413,54212,124906,355531,33797,11241,38978,84016,439547,184229,55052,129760,369041,35322,12352,38944,86618,455659,164648,52188,120302,337138,37864,12418,42711,92993,430131,170689,53378,121139,345206,35786,11662,40844,88292,433498,167678,52813,120781,341272,36558,11882,41494,89934,431206,179087,54081,125036,358204,38157,13046,39588,90791,448995,184076,56109,121206,361391,32290,10979,40644,83913,445304,174446,53919,122596,350961,34627,11412,39761,85800,436761,179696,55034,123122,357852,33299,11183,39666,84148,442000,161173,51811,120364,333348,38689,12614,43524,94827,428175,197348,58413,144823,400584,28254,10043,33482,71779,472363,189217,56114,135799,381130,32689,11554,37407,81650,462780
Dolores,343,645,395,1383,56,77,146,279,1662,348,668,385,1401,56,76,143,275,1676,342,624,396,1362,61,86,142,289,1651,340,634,393,1367,59,84,146,289,1656,342,632,395,1369,61,85,142,288,1657,348,657,376,1381,57,79,145,281,1662,351,664,376,1391,55,73,149,277,1668,343,637,396,1376,56,78,147,281,1657,345,652,390,1387,56,75,149,280,1667,351,642,409,1402,48,65,125,238,1640,348,689,413,1450,53,68,136,257,1707,348,677,396,1421,55,73,140,268,1689
Douglas,39863,92519,64975,197357,6489,13417,13210,33116,230473,41194,93933,67001,202128,5947,12766,11631,30344,232472,37891,90295,62778,190964,7169,14549,14306,36024,226988,39024,91686,63490,194200,6781,13800,13683,34264,228464,38486,91002,63269,192757,6915,14029,13896,34840,227597,40483,92815,65561,198859,6891,14449,12630,33970,232829,41427,94689,64131,200247,6347,13201,13541,33089,233336,39542,92341,64108,195991,6630,13592,13463,33685,229676,40653,93476,64886,199015,6444,13319,13089,32852,231867,37433,89693,62280,189406,7226,14672,14416,36314,225720,43620,98285,72951,214856,4791,10668,9725,25184,240040,42059,95215,69176,206450,5505,12058,10987,28550,235000
Eagle,8079,7395,11907,27381,1305,1175,3030,5510,32891,8444,7497,12236,28177,1408,1293,2994,5695,33872,7486,7218,11572,26276,1402,1245,3239,5886,32162,7847,7300,11652,26799,1355,1206,3144,5705,32504,7654,7273,11626,26553,1378,1224,3186,5788,32341,8248,7378,11844,27470,1506,1365,3071,5942,33412,8447,7600,11675,27722,1268,1144,3097,5509,33231,7997,7355,11774,27126,1324,1194,3086,5604,32730,8248,7489,11827,27564,1287,1159,3000,5446,33010,7345,7179,11519,26043,1451,1286,3327,6064,32107,9105,7864,13268,30237,1149,1098,2576,4823,35060,8684,7610,12639,28933,1313,1240,2847,5400,34333
