county,apr_2013active_dem,apr_2013active_rep,apr_2013active_uaf,apr_2013total_active,apr_2013inactive_dem,apr_2013inactive_rep,apr_2013inactive_uaf,apr_2013total_inactive,apr_2013grand_total,aug_2013active_dem,aug_2013active_rep,aug_2013active_uaf,aug_2013total_active,aug_2013inactive_dem,aug_2013inactive_rep,aug_2013inactive_uaf,aug_2013total_inactive,aug_2013grand_total,dec_2012active_dem,dec_2012active_rep,dec_2012active_uaf,dec_2012total_active,dec_2012inactive_dem,dec_2012inactive_rep,dec_2012inactive_uaf,dec_2012total_inactive,dec_2012grand_total,feb_2013active_dem,feb_2013active_rep,feb_2013active_uaf,feb_2013total_active,feb_2013inactive_dem,feb_2013inactive_rep,feb_2013inactive_uaf,feb_2013total_inactive,feb_2013grand_total,jan_2013active_dem,jan_2013active_rep,jan_2013active_uaf,jan_2013total_active,jan_2013inactive_dem,jan_2013inactive_rep,jan_2013inactive_uaf,jan_2013total_inactive,jan_2013grand_total,july_2013active_dem,july_2013active_rep,july_2013active_uaf,july_2013total_active,july_2013inactive_dem,july_2013inactive_rep,july_2013inactive_uaf,july_2013total_inactive,july_2013grand_total,june_2013active_dem,june_2013active_rep,june_2013active_uaf,june_2013total_active,june_2013inactive_dem,june_2013inactive_rep,june_2013inactive_uaf,june_2013total_inactive,june_2013grand_total,mar_2013active_dem,mar_2013active_rep,mar_2013active_uaf,mar_2013total_active,mar_2013inactive_dem,mar_2013inactive_rep,mar_2013inactive_uaf,mar_2013total_inactive,mar_2013grand_total,may_2013active_dem,may_2013active_rep,may_2013active_uaf,may_2013total_active,may_2013inactive_dem,may_2013inactive_rep,may_2013inactive_uaf,may_2013total_inactive,may_2013grand_total,nov_2012active_dem,nov_2012active_rep,nov_2012active_uaf,nov_2012total_active,nov_2012inactive_dem,nov_2012inactive_rep,nov_2012inactive_uaf,nov_2012total_inactive,nov_2012grand_total,oct_2013active_dem,oct_2013active_rep,oct_2013active_uaf,oct_2013total_active,oct_2013inactive_dem,oct_2013inactive_rep,oct_2013inactive_uaf,oct_2013total_inactive,oct_2013grand_total,sept_2013active_dem,sept_2013active_rep,sept_2013active_uaf,sept_2013total_active,sept_2013inactive_dem,sept_2013inactive_rep,sept_2013inactive_uaf,sept_2013total_inactive,sept_2013grand_total
Adams,69826,50170,64019,184015,21840,13924,32933,68697,252712,79400,55691,80989,216080,12330,8581,17128,38039,254119,69298,49697,62542,181537,24677,16092,37590,78359,259896,69509,49908,63189,182606,22120,14124,33339,69583,252189,69346,49736,62678,181760,22471,14390,33836,70697,252457,79383,55629,80628,215640,12394,8629,17197,38220,253860,70058,50434,64891,185383,21610,13793,32663,68066,253449,69682,50061,63623,183366,21938,13998,33095,69031,252397,69935,50248,64440,184623,21719,13861,32809,68389,253012,70682,50487,66552,187721,22735,15084,32826,70645,258366,79133,55321,81341,215795,12723,8970,17654,39347,255142,79075,55195,80854,215124,12850,9211,17866,39927,255051
Alamosa,2934,2235,1872,7041,708,472,934,2114,9155,3256,2449,2441,8146,366,246,421,1033,9179,2918,2215,1817,6950,1028,761,1386,3175,10125,2925,2230,1851,7006,712,477,942,2131,9137,2919,2228,1840,6987,721,481,949,2151,9138,3259,2452,2405,8116,366,249,425,1040,9156,2932,2238,1893,7063,700,467,927,2094,9157,2929,2235,1863,7027,710,471,940,2121,9148,2933,2238,1883,7054,707,470,930,2107,9161,2882,2220,1747,6849,1039,770,1400,3209,10058,3269,2455,2465,8189,363,238,415,1016,9205,3267,2450,2457,8174,364,239,420,1023,9197
Arapahoe,104276,99016,95568,298860,22692,16325,35095,74112,372972,116376,108009,122050,346435,10919,7672,11048,29639,376074,102264,97848,91094,291206,29628,20922,43341,93891,385097,103941,98772,94287,297000,23105,16671,35721,75497,372497,103150,98171,92402,293723,28094,19597,41499,89190,382913,116153,107839,121271,345263,10965,7719,11068,29752,375015,104622,99306,96900,300828,22386,16123,34697,73206,374034,104168,98954,95034,298156,22805,16435,35322,74562,372718,104465,99174,96293,299932,22511,16204,34866,73581,373513,107427,101492,102884,311803,24433,17337,31250,73020,384823,116916,108187,123752,348855,10835,7552,11088,29475,378330,116742,108270,122936,347948,10955,7660,11195,29810,377758
Archuleta,1656,3519,1927,7102,721,1325,1133,3179,10281,1855,3821,2348,8024,490,946,735,2171,10195,1620,3462,1847,6929,742,1386,1170,3298,10227,1638,3498,1886,7022,728,1344,1146,3218,10240,1634,3495,1873,7002,730,1345,1149,3224,10226,1879,3873,2379,8131,487,940,716,2143,10274,1663,3532,1963,7158,691,1270,1119,3080,10238,1650,3507,1903,7060,723,1334,1136,3193,10253,1658,3522,1946,7126,692,1276,1120,3088,10214,1599,3444,1795,6838,755,1411,1184,3350,10188,1848,3826,2374,8048,469,891,704,2064,10112,1853,3826,2355,8034,472,900,711,2083,10117
Baca,675,1117,437,2229,141,224,216,581,2810,746,1238,591,2575,56,98,96,250,2825,662,1101,382,2145,189,311,309,809,2954,667,1110,393,2170,151,239,232,622,2792,666,1109,387,2162,186,304,309,799,2961,747,1237,583,2567,57,100,97,254,2821,670,1119,451,2240,136,219,215,570,2810,674,1114,428,2216,145,227,218,590,2806,676,1119,444,2239,136,222,215,573,2812,662,1101,380,2143,190,314,316,820,2963,740,1237,604,2581,55,97,95,247,2828,744,1238,596,2578,56,98,95,249,2827
Bent,760,779,488,2027,254,172,346,772,2799,870,831,653,2354,142,106,184,432,2786,759,783,472,2014,264,182,354,800,2814,759,777,481,2017,257,176,350,783,2800,755,778,478,2011,262,181,353,796,2807,867,832,653,2352,142,108,184,434,2786,758,775,493,2026,252,170,343,765,2791,760,779,482,2021,255,175,348,778,2799,760,776,491,2027,253,171,345,769,2796,755,783,461,1999,271,190,363,824,2823,868,830,670,2368,139,105,181,425,2793,859,826,656,2341,139,105,182,426,2767
Boulder,80368,36480,68201,185049,18531,9821,29284,57636,242685,83665,38324,76191,198180,15589,7973,22661,46223,244403,79915,36233,66604,182752,22110,11285,33388,66783,249535,80252,36396,67544,184192,18778,9972,29622,58372,242564,80050,36263,67111,183424,19036,10139,29964,59139,242563,84756,38875,77135,200766,14322,7433,21174,42929,243695,80613,36529,68897,186039,18407,9755,29093,57255,243294,80328,36445,67901,184674,18670,9895,29434,57999,242673,80482,36500,68572,185554,18452,9786,29182,57420,242974,81896,37212,70639,189747,19974,10263,28975,59212,248959,84366,38432,78091,200889,15055,7694,22079,44828,245717,83906,38418,76946,199270,15415,7878,22502,45795,245065
Broomfield,10235,11452,12329,34016,1877,1906,3740,7523,41539,11033,12219,14402,37654,1185,1255,1936,4376,42030,10144,11340,12039,33523,2404,2430,4505,9339,42862,10200,11407,12179,33786,1910,1940,3783,7633,41419,10192,11391,12143,33726,1915,1949,3802,7666,41392,11002,12146,14267,37415,1189,1263,1945,4397,41812,10291,11480,12457,34228,1870,1890,3708,7468,41696,10221,11433,12256,33910,1899,1929,3770,7598,41508,10260,11462,12398,34120,1876,1898,3720,7494,41614,10276,11411,12531,34218,2247,2371,3934,8552,42770,10209,11479,13275,34963,2097,2060,3330,7487,42450,10110,11381,13070,34561,2151,2123,3389,7663,42224
Chaffee,3015,4259,3564,10838,486,661,1161,2308,13146,3154,4518,4185,11857,331,398,607,1336,13193,2995,4224,3488,10707,613,838,1458,2909,13616,3012,4245,3512,10769,499,677,1189,2365,13134,2990,4225,3493,10708,525,703,1203,2431,13139,3189,4549,4202,11940,309,386,587,1282,13222,3014,4274,3633,10921,485,654,1152,2291,13212,3012,4250,3536,10798,494,663,1167,2324,13122,3010,4263,3599,10872,486,659,1155,2300,13172,3072,4363,3743,11178,557,736,1170,2463,13641,3154,4504,4237,11895,324,393,604,1321,13216,3155,4513,4220,11888,321,390,602,1313,13201
Cheyenne,152,766,231,1149,45,115,104,264,1413,169,824,290,1283,22,55,48,125,1408,147,757,217,1121,54,156,124,334,1455,151,765,228,1144,45,118,106,269,1413,151,762,228,1141,45,121,107,273,1414,169,828,288,1285,22,54,48,124,1409,150,767,232,1149,44,115,102,261,1410,152,766,231,1149,45,115,105,265,1414,151,764,231,1146,45,115,103,263,1409,148,755,210,1113,55,163,138,356,1469,167,828,297,1292,21,53,45,119,1411,167,825,289,1281,21,54,47,122,1403
